Date,Price
2021-01-04,3903.00
2021-01-05,3893.00
2021-01-06,3973.50
2021-01-07,3986.50
2021-01-08,3974.50
2021-01-11,3961.50
2021-01-12,3944.50
2021-01-13,3908.00
2021-01-14,3840.00
2021-01-15,3726.50
2021-01-18,3594.50
2021-01-19,3599.50
2021-01-20,3474.00
2021-01-21,3556.50
2021-01-22,3572.00
2021-01-25,3578.50
2021-01-26,3592.50
2021-01-27,3682.00
2021-01-29,3832.50
2021-02-01,3895.50
2021-02-02,3888.50
2021-02-03,3725.00
2021-02-04,3800.50
2021-02-05,3900.00
2021-02-08,3863.00
2021-02-09,3909.50
2021-02-10,3882.50
2021-02-11,3879.00
2021-02-15,3908.50
2021-02-16,3931.00
2021-02-17,3993.50
2021-02-18,3921.00
2021-02-19,3917.00
2021-02-22,3952.50
2021-02-23,3996.00
2021-02-24,3991.50
2021-02-25,4013.50
2021-02-26,4000.00
2021-03-01,3976.00
2021-03-02,3878.00
2021-03-03,3845.50
2021-03-04,3906.00
2021-03-05,3935.50
2021-03-08,4015.00
2021-03-09,4022.50
2021-03-10,4021.00
2021-03-11,4103.00
2021-03-12,4193.00
2021-03-15,4247.50
2021-03-16,4215.00
2021-03-17,4192.00
2021-03-18,4109.00
2021-03-19,3988.50
2021-03-22,4072.50
2021-03-23,4236.00
2021-03-24,4187.50
2021-03-25,4145.50
2021-03-26,4014.00
2021-03-29,4005.50
2021-03-30,4006.00
2021-03-31,3985.00
2021-04-01,4108.50
2021-04-02,4111.00
2021-04-05,4141.00
2021-04-06,4172.00
2021-04-07,4212.00
2021-04-08,4235.00
2021-04-09,4270.00
2021-04-12,4220.50
2021-04-13,4193.50
2021-04-14,4153.50
2021-04-15,4163.00
2021-04-16,4188.00
2021-04-19,4158.00
2021-04-20,4188.50
2021-04-21,4306.50
2021-04-22,4376.50
2021-04-23,4428.50
2021-04-26,4338.00
2021-04-27,4418.00
2021-04-28,4389.50
2021-04-29,4400.00
2021-05-03,4502.00
2021-05-04,4525.50
2021-05-05,4548.50
2021-05-06,4652.00
2021-05-07,4758.50
2021-05-10,4758.00
2021-05-11,4740.50
2021-05-12,4749.50
2021-05-17,4698.00
2021-05-18,4773.50
2021-05-19,4681.50
2021-05-20,4605.00
2021-05-21,4434.00
2021-05-24,4307.00
2021-05-25,4329.00
2021-05-27,4234.00
2021-05-28,4298.50
2021-05-31,4180.50
2021-06-01,4026.00
2021-06-02,4061.50
2021-06-03,4270.00
2021-06-04,4236.00
2021-06-08,4177.50
2021-06-09,4122.00
2021-06-10,4070.00
2021-06-11,3993.50
2021-06-14,3471.50
2021-06-15,3508.00
2021-06-16,3522.50
2021-06-17,3529.00
2021-06-18,3498.00
2021-06-21,3568.50
2021-06-22,3597.00
2021-06-23,3691.00
2021-06-24,3640.00
2021-06-25,3675.00
2021-06-28,3704.50
2021-06-29,3727.50
2021-06-30,3918.00
2021-07-01,3888.50
2021-07-02,3938.50
2021-07-05,3956.00
2021-07-06,4027.00
2021-07-07,3921.50
2021-07-08,3936.50
2021-07-09,4000.50
2021-07-12,3998.00
2021-07-13,4029.50
2021-07-14,4063.00
2021-07-15,4174.50
2021-07-16,4235.50
2021-07-19,4314.00
2021-07-21,4334.00
2021-07-22,4364.50
2021-07-23,4481.50
2021-07-26,4547.00
2021-07-27,4659.00
2021-07-28,4591.50
2021-07-29,4620.00
2021-08-02,4463.00
2021-08-03,4440.00
2021-08-04,4535.50
2021-08-05,4557.00
2021-08-06,4485.50
2021-08-09,4480.50
2021-08-11,4579.50
2021-08-12,4583.50
2021-08-13,4583.00
2021-08-16,4658.00
2021-08-17,4695.50
2021-08-18,4553.00
2021-08-19,4565.00
2021-08-20,4488.50
2021-08-23,4511.50
2021-08-24,4506.00
2021-08-25,4548.00
2021-08-26,4563.00
2021-08-27,4566.50
2021-08-30,4523.50
2021-09-01,4479.00
2021-09-02,4432.50
2021-09-03,4534.00
2021-09-06,4549.50
2021-09-07,4557.50
2021-09-08,4604.50
2021-09-09,4608.50
2021-09-10,4551.00
2021-09-13,4584.50
2021-09-14,4597.00
2021-09-15,4604.00
2021-09-17,4511.50
2021-09-20,4505.00
2021-09-21,4433.00
2021-09-22,4532.50
2021-09-23,4596.00
2021-09-24,4652.00
2021-09-27,4601.50
2021-09-28,4611.00
2021-09-29,4663.50
2021-09-30,4720.00
2021-10-01,4760.00
2021-10-04,4747.00
2021-10-05,4881.00
2021-10-06,4996.50
2021-10-07,4965.00
2021-10-08,5021.00
2021-10-11,5080.50
2021-10-12,5071.50
2021-10-13,5066.50
2021-10-14,5038.50
2021-10-15,5118.00
2021-10-18,5156.50
2021-10-20,5250.00
2021-10-21,5366.50
2021-10-22,5128.00
2021-10-25,5238.50
2021-10-26,5310.50
2021-10-27,5272.00
2021-10-28,5230.00
2021-10-29,5395.50
2021-11-01,5357.00
2021-11-02,5351.50
2021-11-03,5404.00
2021-11-05,5343.00
2021-11-08,5288.00
2021-11-09,5222.50
2021-11-10,5309.50
2021-11-11,5345.00
2021-11-12,5371.00
2021-11-15,5261.00
2021-11-16,5319.50
2021-11-17,5354.50
2021-11-18,5404.50
2021-11-19,5429.00
2021-11-22,5387.00
2021-11-23,5350.50
2021-11-24,5303.50
2021-11-25,5315.00
2021-11-26,5289.50
2021-11-29,5294.00
2021-11-30,5178.00
2021-12-01,5202.00
2021-12-02,5163.50
2021-12-06,5231.00
2021-12-07,5269.50
2021-12-08,5214.50
2021-12-09,5239.50
2021-12-10,5198.00
2021-12-13,5215.50
2021-12-14,5161.00
2021-12-15,4833.50
2021-12-16,4849.00
2021-12-17,4934.00
2021-12-20,4861.00
2021-12-21,4835.50
2021-12-22,4944.00
2021-12-23,4958.50
2021-12-24,5044.50
2021-12-27,5080.00
2021-12-28,5143.00
2021-12-29,5142.50
2021-12-30,5150.00
