Date,Price
2018-01-02,2468.50
2018-01-03,2490.50
2018-01-04,2517.00
2018-01-05,2538.00
2018-01-08,2514.00
2018-01-09,2539.00
2018-01-10,2549.00
2018-01-11,2523.50
2018-01-12,2493.50
2018-01-15,2482.50
2018-01-16,2462.50
2018-01-17,2458.50
2018-01-18,2454.00
2018-01-19,2426.00
2018-01-22,2441.00
2018-01-23,2449.50
2018-01-24,2469.00
2018-01-25,2463.50
2018-01-26,2457.00
2018-01-29,2479.00
2018-01-30,2461.00
2018-02-01,2450.00
2018-02-02,2437.00
2018-02-05,2461.50
2018-02-06,2463.00
2018-02-07,2480.50
2018-02-08,2467.00
2018-02-09,2472.50
2018-02-12,2493.00
2018-02-13,2497.50
2018-02-14,2480.50
2018-02-15,2488.50
2018-02-19,2479.00
2018-02-20,2499.50
2018-02-21,2494.00
2018-02-22,2492.00
2018-02-23,2508.00
2018-02-26,2529.50
2018-02-27,2535.50
2018-02-28,2547.00
2018-03-01,2555.50
2018-03-02,2494.00
2018-03-05,2460.50
2018-03-06,2468.50
2018-03-07,2454.50
2018-03-08,2427.50
2018-03-09,2383.00
2018-03-12,2376.00
2018-03-13,2391.50
2018-03-14,2417.50
2018-03-15,2422.00
2018-03-16,2438.50
2018-03-19,2425.00
2018-03-20,2432.00
2018-03-21,2436.00
2018-03-22,2427.00
2018-03-23,2414.50
2018-03-26,2413.00
2018-03-27,2409.50
2018-03-28,2405.00
2018-03-29,2393.50
2018-03-30,2402.50
2018-04-02,2431.00
2018-04-03,2438.00
2018-04-04,2435.00
2018-04-05,2455.50
2018-04-06,2464.00
2018-04-09,2453.50
2018-04-10,2447.50
2018-04-11,2423.50
2018-04-12,2411.00
2018-04-13,2412.50
2018-04-16,2385.00
2018-04-17,2373.50
2018-04-18,2387.00
2018-04-19,2391.00
2018-04-20,2394.00
2018-04-23,2392.00
2018-04-24,2383.00
2018-04-25,2388.00
2018-04-26,2387.50
2018-04-27,2380.00
2018-04-30,2349.50
2018-05-02,2370.50
2018-05-03,2359.00
2018-05-04,2334.50
2018-05-07,2366.00
2018-05-08,2377.00
2018-05-14,2407.50
2018-05-15,2408.50
2018-05-16,2400.50
2018-05-17,2399.00
2018-05-18,2421.00
2018-05-21,2423.00
2018-05-22,2427.50
2018-05-23,2416.50
2018-05-24,2443.00
2018-05-25,2418.00
2018-05-28,2372.00
2018-05-30,2366.50
2018-05-31,2385.00
2018-06-01,2394.00
2018-06-04,2407.00
2018-06-05,2368.00
2018-06-06,2384.50
2018-06-07,2373.00
2018-06-08,2353.50
2018-06-11,2340.00
2018-06-12,2340.50
2018-06-13,2317.00
2018-06-14,2279.00
2018-06-18,2307.00
2018-06-19,2231.00
2018-06-20,2247.50
2018-06-21,2253.50
2018-06-22,2267.50
2018-06-25,2250.50
2018-06-26,2277.00
2018-06-27,2279.00
2018-06-28,2309.50
2018-06-29,2295.50
2018-07-02,2313.50
2018-07-03,2285.00
2018-07-04,2279.50
2018-07-05,2276.50
2018-07-06,2274.50
2018-07-09,2262.50
2018-07-10,2242.50
2018-07-11,2204.00
2018-07-12,2180.00
2018-07-13,2159.00
2018-07-16,2164.50
2018-07-17,2156.00
2018-07-18,2193.50
2018-07-19,2195.50
2018-07-20,2165.50
2018-07-23,2162.00
2018-07-24,2143.00
2018-07-25,2132.00
2018-07-26,2169.50
2018-07-27,2152.00
2018-07-30,2154.50
2018-07-31,2154.50
2018-08-01,2177.50
2018-08-02,2177.00
2018-08-03,2144.00
2018-08-06,2176.00
2018-08-07,2182.50
2018-08-08,2198.50
2018-08-09,2206.00
2018-08-10,2202.00
2018-08-13,2192.00
2018-08-14,2176.50
2018-08-15,2176.00
2018-08-16,2170.00
2018-08-17,2184.00
2018-08-20,2190.50
2018-08-21,2194.00
2018-08-23,2190.50
2018-08-24,2178.50
2018-08-27,2171.50
2018-08-28,2189.50
2018-08-29,2177.50
2018-08-30,2179.00
2018-09-03,2197.50
2018-09-04,2215.00
2018-09-05,2220.50
2018-09-06,2216.50
2018-09-07,2210.00
2018-09-12,2209.00
2018-09-13,2210.00
2018-09-14,2201.00
2018-09-18,2171.00
2018-09-19,2135.50
2018-09-20,2121.50
2018-09-21,2118.00
2018-09-24,2124.50
2018-09-25,2114.50
2018-09-26,2115.00
2018-09-27,2090.00
2018-09-28,2064.50
2018-10-01,2087.00
2018-10-02,2084.50
2018-10-03,2082.50
2018-10-04,2099.00
2018-10-05,2100.50
2018-10-08,2094.00
2018-10-09,2088.50
2018-10-10,2088.50
2018-10-11,2061.50
2018-10-12,2083.50
2018-10-15,2088.50
2018-10-16,2094.00
2018-10-17,2095.50
2018-10-18,2088.50
2018-10-19,2069.00
2018-10-22,2080.50
2018-10-23,2081.50
2018-10-24,2052.50
2018-10-25,2038.00
2018-10-26,2028.50
2018-10-29,2031.00
2018-10-30,2018.00
2018-10-31,2007.00
2018-11-01,1984.50
2018-11-02,1958.00
2018-11-05,1953.00
2018-11-07,1948.50
2018-11-08,1928.50
2018-11-09,1897.00
2018-11-12,1872.00
2018-11-13,1844.00
2018-11-14,1768.50
2018-11-15,1746.00
2018-11-16,1736.00
2018-11-19,1728.50
2018-11-21,1717.50
2018-11-22,1731.00
2018-11-23,1764.50
2018-11-26,1749.00
2018-11-27,1718.00
2018-11-28,1734.50
2018-11-29,1759.50
2018-11-30,1764.50
2018-12-03,1772.00
2018-12-04,1775.50
2018-12-05,1722.50
2018-12-06,1725.50
2018-12-07,1740.50
2018-12-10,1738.50
2018-12-11,1734.50
2018-12-12,1755.00
2018-12-13,1787.50
2018-12-14,1798.00
2018-12-17,1801.50
2018-12-18,1831.50
2018-12-19,1909.00
2018-12-20,1944.50
2018-12-21,1927.00
2018-12-24,1900.00
2018-12-26,1924.00
2018-12-27,1918.50
2018-12-28,1942.50
2018-12-31,1970.50
