Date,Price
2016-01-04,2181.50
2016-01-05,2217.00
2016-01-06,2226.00
2016-01-07,2233.00
2016-01-08,2219.00
2016-01-11,2249.50
2016-01-12,2217.50
2016-01-13,2238.50
2016-01-14,2238.00
2016-01-15,2260.50
2016-01-18,2260.00
2016-01-19,2280.00
2016-01-20,2283.00
2016-01-21,2277.00
2016-01-22,2282.50
2016-01-26,2304.00
2016-01-27,2345.00
2016-01-28,2326.00
2016-01-29,2315.00
2016-02-02,2367.50
2016-02-03,2378.50
2016-02-04,2392.00
2016-02-05,2422.00
2016-02-10,2436.00
2016-02-11,2419.50
2016-02-12,2438.50
2016-02-15,2451.00
2016-02-16,2468.00
2016-02-17,2454.00
2016-02-18,2444.50
2016-02-19,2462.00
2016-02-22,2465.50
2016-02-23,2445.50
2016-02-24,2435.50
2016-02-25,2450.50
2016-02-26,2437.00
2016-02-29,2452.00
2016-03-01,2453.50
2016-03-02,2435.00
2016-03-03,2425.00
2016-03-04,2461.50
2016-03-07,2459.00
2016-03-08,2460.00
2016-03-09,2477.00
2016-03-10,2479.00
2016-03-11,2499.50
2016-03-14,2516.00
2016-03-15,2522.00
2016-03-16,2513.00
2016-03-17,2538.00
2016-03-18,2589.50
2016-03-21,2611.50
2016-03-22,2610.00
2016-03-23,2614.00
2016-03-24,2598.50
2016-03-25,2621.00
2016-03-28,2631.00
2016-03-29,2667.00
2016-03-30,2676.00
2016-03-31,2686.00
2016-04-01,2709.00
2016-04-04,2680.50
2016-04-05,2714.00
2016-04-06,2683.00
2016-04-07,2679.50
2016-04-08,2664.00
2016-04-11,2624.00
2016-04-12,2610.00
2016-04-13,2610.50
2016-04-14,2621.00
2016-04-15,2608.00
2016-04-18,2618.50
2016-04-19,2638.50
2016-04-20,2670.00
2016-04-21,2679.00
2016-04-22,2665.00
2016-04-25,2642.00
2016-04-26,2642.00
2016-04-27,2636.00
2016-04-28,2577.50
2016-04-29,2566.00
2016-05-03,2541.00
2016-05-04,2578.00
2016-05-05,2609.00
2016-05-06,2607.50
2016-05-09,2637.50
2016-05-10,2674.00
2016-05-11,2706.50
2016-05-12,2675.00
2016-05-13,2639.50
2016-05-16,2657.00
2016-05-17,2652.50
2016-05-18,2638.00
2016-05-19,2595.00
2016-05-20,2597.00
2016-05-23,2567.50
2016-05-24,2559.50
2016-05-25,2556.50
2016-05-26,2585.50
2016-05-27,2602.50
2016-05-30,2613.00
2016-05-31,2612.50
2016-06-01,2639.00
2016-06-02,2638.50
2016-06-03,2648.00
2016-06-06,2643.00
2016-06-07,2647.50
2016-06-08,2619.00
2016-06-09,2639.00
2016-06-10,2621.50
2016-06-13,2603.00
2016-06-14,2533.00
2016-06-15,2516.00
2016-06-16,2486.00
2016-06-17,2506.00
2016-06-20,2475.00
2016-06-21,2463.50
2016-06-23,2445.00
2016-06-24,2464.00
2016-06-27,2461.00
2016-06-28,2456.50
2016-06-29,2406.50
2016-06-30,2399.50
2016-07-01,2402.50
2016-07-04,2428.00
2016-07-05,2306.50
2016-07-08,2306.50
2016-07-11,2324.50
2016-07-12,2295.50
2016-07-13,2303.50
2016-07-14,2292.50
2016-07-15,2302.50
2016-07-18,2323.00
2016-07-19,2319.00
2016-07-20,2357.00
2016-07-21,2377.00
2016-07-22,2354.50
2016-07-25,2334.00
2016-07-26,2332.50
2016-07-27,2358.50
2016-07-28,2348.00
2016-07-29,2352.50
2016-08-01,2391.50
2016-08-02,2387.00
2016-08-03,2423.50
2016-08-04,2461.00
2016-08-05,2488.00
2016-08-08,2504.50
2016-08-09,2539.00
2016-08-10,2571.00
2016-08-11,2582.00
2016-08-12,2596.50
2016-08-15,2678.50
2016-08-16,2710.50
2016-08-17,2798.00
2016-08-18,2821.00
2016-08-19,2833.00
2016-08-22,2807.50
2016-08-23,2802.00
2016-08-24,2845.00
2016-08-25,2803.50
2016-08-26,2831.00
2016-08-29,2791.00
2016-08-30,2797.50
2016-09-01,2769.50
2016-09-02,2806.00
2016-09-05,2889.50
2016-09-06,2886.00
2016-09-07,2858.50
2016-09-08,2872.00
2016-09-09,2879.00
2016-09-13,2866.50
2016-09-14,2802.50
2016-09-15,2824.50
2016-09-19,2866.50
2016-09-20,2899.50
2016-09-21,2899.50
2016-09-22,2896.00
2016-09-23,2864.00
2016-09-26,2892.00
2016-09-27,2868.00
2016-09-28,2785.50
2016-09-29,2746.50
2016-09-30,2731.00
2016-10-04,2741.00
2016-10-05,2728.00
2016-10-06,2688.50
2016-10-07,2674.50
2016-10-10,2620.00
2016-10-11,2637.50
2016-10-12,2651.00
2016-10-13,2664.50
2016-10-14,2679.50
2016-10-17,2765.50
2016-10-18,2778.00
2016-10-19,2746.50
2016-10-20,2761.00
2016-10-21,2735.00
2016-10-24,2779.50
2016-10-25,2782.50
2016-10-26,2791.00
2016-10-27,2785.50
2016-10-28,2795.00
2016-10-31,2789.00
2016-11-01,2795.50
2016-11-02,2772.50
2016-11-03,2765.00
2016-11-04,2776.00
2016-11-07,2800.50
2016-11-08,2829.50
2016-11-09,2843.00
2016-11-10,2872.50
2016-11-11,2994.50
2016-11-14,2872.00
2016-11-15,2892.00
2016-11-16,2904.50
2016-11-17,2917.00
2016-11-18,2905.50
2016-11-21,2939.00
2016-11-22,2962.50
2016-11-23,2986.50
2016-11-24,3024.00
2016-11-25,3053.00
2016-11-28,3088.00
2016-11-29,3065.00
2016-11-30,3070.00
2016-12-01,3101.50
2016-12-02,3139.50
2016-12-05,3187.00
2016-12-06,3183.00
2016-12-07,3205.00
2016-12-08,3170.50
2016-12-09,3180.00
2016-12-14,3206.50
2016-12-15,3237.50
2016-12-16,3243.50
2016-12-19,3240.00
2016-12-20,3237.00
2016-12-21,3225.00
2016-12-22,3227.50
2016-12-23,3181.50
2016-12-27,3222.50
2016-12-28,3239.00
2016-12-29,3203.50
2016-12-30,3202.50
