Date,Price
2019-01-02,2019.50
2019-01-03,2030.00
2019-01-04,2036.50
2019-01-07,2027.50
2019-01-08,2041.50
2019-01-09,2036.50
2019-01-10,2023.00
2019-01-11,2010.50
2019-01-14,2014.00
2019-01-15,2004.50
2019-01-16,2008.50
2019-01-17,2006.50
2019-01-18,2044.00
2019-01-22,2054.00
2019-01-23,2066.00
2019-01-24,2088.50
2019-01-25,2091.00
2019-01-28,2127.00
2019-01-29,2121.00
2019-01-30,2120.50
2019-01-31,2083.00
2019-02-01,2127.00
2019-02-04,2092.00
2019-02-07,2153.00
2019-02-08,2133.00
2019-02-11,2120.00
2019-02-12,2116.50
2019-02-13,2116.50
2019-02-14,2117.50
2019-02-15,2107.00
2019-02-18,2113.50
2019-02-19,2110.50
2019-02-20,2080.00
2019-02-21,2067.50
2019-02-22,2057.50
2019-02-25,2039.00
2019-02-26,1984.00
2019-02-27,1948.00
2019-02-28,1902.00
2019-03-01,1944.50
2019-03-04,1960.00
2019-03-05,1934.00
2019-03-06,1941.00
2019-03-07,1932.50
2019-03-08,1923.00
2019-03-11,1906.50
2019-03-12,1898.50
2019-03-13,1878.50
2019-03-14,1853.00
2019-03-15,1838.00
2019-03-18,1834.00
2019-03-19,1868.00
2019-03-20,1889.00
2019-03-21,1893.00
2019-03-22,1864.00
2019-03-25,1885.50
2019-03-26,1904.00
2019-03-27,1887.00
2019-03-28,1866.50
2019-03-29,1869.00
2019-04-01,1923.00
2019-04-02,1964.00
2019-04-03,1991.50
2019-04-04,2014.00
2019-04-05,2038.00
2019-04-08,2035.50
2019-04-09,2061.00
2019-04-10,2045.50
2019-04-11,2021.50
2019-04-12,2016.00
2019-04-15,2020.00
2019-04-16,2021.50
2019-04-17,2054.50
2019-04-18,2052.50
2019-04-19,2051.50
2019-04-22,2057.50
2019-04-23,2030.50
2019-04-24,2019.50
2019-04-25,2031.00
2019-04-26,1990.00
2019-04-29,1976.00
2019-04-30,1981.50
2019-05-02,1960.00
2019-05-03,1963.00
2019-05-06,1918.00
2019-05-07,1946.50
2019-05-08,1951.00
2019-05-09,1918.00
2019-05-10,1910.50
2019-05-13,1916.50
2019-05-14,1924.00
2019-05-15,1954.50
2019-05-16,1979.00
2019-05-17,1982.50
2019-05-21,1971.00
2019-05-22,1980.00
2019-05-23,1938.50
2019-05-24,1928.50
2019-05-27,1949.50
2019-05-28,1951.00
2019-05-29,1970.50
2019-05-30,1970.50
2019-05-31,1968.50
