Date,Price
2008-01-02,3111.00
2008-01-03,3142.00
2008-01-04,3138.00
2008-01-07,3146.00
2008-01-08,3161.50
2008-01-09,3197.50
2008-01-11,3240.00
2008-01-14,3338.00
2008-01-15,3371.00
2008-01-16,3288.50
2008-01-17,3334.50
2008-01-18,3328.50
2008-01-21,3293.50
2008-01-22,3151.00
2008-01-24,3170.50
2008-01-25,3246.00
2008-01-28,3231.00
2008-01-29,3219.50
2008-01-30,3247.00
2008-02-01,3209.50
2008-02-04,3303.00
2008-02-05,3412.50
2008-02-06,3393.50
2008-02-11,3379.50
2008-02-12,3428.00
2008-02-13,3385.00
2008-02-14,3432.50
2008-02-15,3504.00
2008-02-18,3531.00
2008-02-19,3590.50
2008-02-20,3620.50
2008-02-21,3677.00
2008-02-22,3680.00
2008-02-25,3828.50
2008-02-26,3807.50
2008-02-27,3823.00
2008-02-28,3831.50
2008-02-29,3946.00
2008-03-03,4159.00
2008-03-04,4179.50
2008-03-05,3979.50
2008-03-06,4007.50
2008-03-07,3827.00
2008-03-10,3611.50
2008-03-11,3794.00
2008-03-12,3805.50
2008-03-13,3830.00
2008-03-14,3722.50
2008-03-17,3584.50
2008-03-18,3342.50
2008-03-19,3337.00
2008-03-21,3348.00
2008-03-24,3484.50
2008-03-25,3460.00
2008-03-26,3604.00
2008-03-27,3614.50
2008-03-28,3587.00
2008-03-31,3388.50
2008-04-01,3140.00
2008-04-02,3287.50
2008-04-03,3289.50
2008-04-04,3291.00
2008-04-07,3354.50
2008-04-08,3371.50
2008-04-09,3381.00
2008-04-10,3400.00
2008-04-11,3453.00
2008-04-14,3507.50
2008-04-15,3651.50
2008-04-16,3665.00
2008-04-17,3650.00
2008-04-18,3609.50
2008-04-21,3489.00
2008-04-22,3463.50
2008-04-23,3504.00
2008-04-24,3506.50
2008-04-25,3406.50
2008-04-28,3461.00
2008-04-29,3406.00
2008-04-30,3377.50
2008-05-02,3381.00
2008-05-05,3407.00
2008-05-06,3406.50
2008-05-07,3396.00
2008-05-08,3433.00
2008-05-09,3476.00
2008-05-12,3594.00
2008-05-13,3561.50
2008-05-14,3598.50
2008-05-15,3551.50
2008-05-16,3525.50
2008-05-20,3543.00
2008-05-21,3547.50
2008-05-22,3590.00
2008-05-23,3602.00
2008-05-26,3664.00
2008-05-27,3707.50
2008-05-28,3658.00
2008-05-29,3611.50
2008-05-30,3496.50
2008-06-02,3530.00
2008-06-03,3551.50
2008-06-04,3515.50
2008-06-05,3509.00
2008-06-06,3607.50
2008-06-09,3672.00
2008-06-10,3636.00
2008-06-11,3575.50
2008-06-12,3662.00
2008-06-13,3681.00
2008-06-16,3707.50
2008-06-17,3663.50
2008-06-18,3656.50
2008-06-19,3613.50
2008-06-20,3555.00
2008-06-23,3555.50
2008-06-24,3544.50
2008-06-25,3526.50
2008-06-26,3536.50
2008-06-27,3571.50
2008-06-30,3598.50
2008-07-01,3571.50
2008-07-02,3595.50
2008-07-03,3600.50
2008-07-04,3596.00
2008-07-07,3549.00
2008-07-08,3503.00
2008-07-09,3483.50
2008-07-10,3487.50
2008-07-11,3521.50
2008-07-14,3513.50
2008-07-15,3513.50
