Date,Price
2009-01-02,1721.50
2009-01-05,1787.50
2009-01-06,1876.00
2009-01-07,1987.50
2009-01-08,1889.50
2009-01-09,1909.00
2009-01-12,1962.50
2009-01-13,1820.00
2009-01-14,1863.50
2009-01-15,1833.50
2009-01-16,1818.50
2009-01-19,1855.00
2009-01-20,1825.50
2009-01-21,1807.50
2009-01-22,1834.50
2009-01-23,1856.00
2009-01-28,1813.50
2009-01-29,1791.00
2009-01-30,1760.00
2009-02-02,1745.00
2009-02-03,1776.00
2009-02-04,1826.50
2009-02-05,1853.50
2009-02-06,1886.00
2009-02-09,1940.00
2009-02-10,1935.00
2009-02-11,1944.00
2009-02-12,1938.50
2009-02-13,1974.50
2009-02-16,1994.50
2009-02-17,1935.50
2009-02-18,1890.50
2009-02-19,1896.00
2009-02-20,1909.00
2009-02-23,1907.00
2009-02-24,1899.50
2009-02-25,1926.00
2009-02-26,1921.00
2009-02-27,1923.00
2009-03-02,1948.00
2009-03-03,1923.50
2009-03-04,1960.00
2009-03-05,1992.50
2009-03-06,1999.50
2009-03-10,2051.50
2009-03-11,2054.50
2009-03-12,2012.00
2009-03-13,2016.50
2009-03-16,2038.50
2009-03-17,2042.50
2009-03-18,2062.00
2009-03-19,2033.00
2009-03-20,2065.50
2009-03-23,2119.00
2009-03-24,2119.50
2009-03-25,2080.00
2009-03-26,2103.00
2009-03-27,2108.50
2009-03-30,2116.00
2009-04-01,2151.00
2009-04-02,2212.50
2009-04-03,2269.00
2009-04-06,2265.50
2009-04-07,2269.50
2009-04-08,2284.50
2009-04-09,2355.50
2009-04-10,2397.50
2009-04-13,2466.00
2009-04-14,2505.00
2009-04-15,2566.00
2009-04-16,2549.00
2009-04-17,2584.00
2009-04-20,2616.00
2009-04-21,2608.50
2009-04-22,2621.50
2009-04-23,2666.00
2009-04-24,2757.50
2009-04-27,2688.50
2009-04-28,2676.00
2009-04-29,2602.50
2009-04-30,2710.00
2009-05-04,2845.50
2009-05-05,2817.00
2009-05-06,2823.50
2009-05-07,2839.50
2009-05-08,2822.50
2009-05-11,2847.50
2009-05-12,2855.50
2009-05-13,2887.00
