Date,Price
2020-01-02,3055.00
2020-01-03,3064.00
2020-01-06,3061.50
2020-01-07,3057.50
2020-01-08,3041.00
2020-01-09,3084.50
2020-01-10,3109.50
2020-01-13,3096.00
2020-01-14,3033.00
2020-01-15,3014.50
2020-01-16,2985.00
2020-01-17,2971.50
2020-01-20,2963.00
2020-01-21,2931.50
2020-01-22,2974.00
2020-01-23,2991.50
2020-01-24,2984.00
2020-01-28,2736.00
2020-01-29,2777.50
2020-01-30,2689.00
2020-01-31,2680.00
2020-02-03,2658.50
2020-02-04,2696.00
2020-02-05,2790.50
2020-02-06,2873.50
2020-02-07,2885.00
2020-02-10,2859.50
2020-02-11,2774.50
2020-02-12,2703.00
2020-02-13,2694.50
2020-02-14,2683.00
2020-02-17,2709.00
2020-02-18,2708.50
2020-02-19,2694.50
2020-02-20,2649.00
2020-02-21,2667.00
2020-02-24,2645.00
2020-02-25,2545.00
2020-02-26,2509.50
2020-02-27,2486.50
2020-02-28,2413.50
2020-03-02,2394.50
2020-03-03,2377.50
2020-03-04,2432.00
2020-03-05,2517.00
2020-03-06,2491.00
2020-03-09,2274.00
2020-03-10,2366.50
2020-03-11,2345.50
2020-03-12,2323.00
2020-03-13,2307.00
2020-03-16,2280.50
2020-03-17,2322.50
2020-03-18,2300.50
2020-03-19,2264.50
2020-03-20,2311.00
2020-03-23,2316.00
2020-03-24,2370.50
2020-03-25,2429.50
2020-03-26,2423.50
2020-03-27,2445.00
2020-03-30,2482.00
2020-03-31,2392.50
2020-04-01,2472.50
2020-04-02,2454.00
2020-04-03,2366.00
2020-04-06,2334.50
2020-04-07,2356.50
2020-04-08,2420.00
2020-04-09,2432.00
2020-04-10,2355.50
2020-04-13,2326.00
2020-04-14,2284.50
2020-04-15,2322.00
2020-04-16,2290.00
2020-04-17,2291.50
2020-04-20,2308.50
2020-04-21,2171.00
2020-04-22,2131.00
2020-04-23,2131.50
2020-04-24,2162.00
2020-04-27,2049.00
2020-04-28,2046.50
2020-04-29,2058.00
2020-04-30,2096.50
2020-05-05,2037.00
2020-05-06,2025.50
2020-05-08,2036.50
2020-05-11,2036.50
2020-05-12,2021.50
2020-05-13,2037.00
2020-05-14,2030.50
2020-05-15,2081.00
2020-05-18,2138.50
2020-05-19,2183.00
2020-05-20,2182.00
2020-05-21,2191.00
2020-05-22,2208.00
2020-05-27,2254.50
2020-05-28,2273.00
2020-05-29,2283.00
2020-06-01,2366.00
2020-06-02,2374.00
2020-06-03,2389.50
2020-06-04,2389.50
2020-06-05,2379.50
2020-06-09,2413.00
2020-06-10,2404.50
2020-06-11,2390.00
2020-06-12,2387.00
2020-06-15,2369.00
2020-06-16,2403.50
2020-06-17,2415.00
2020-06-18,2419.50
2020-06-19,2483.00
2020-06-22,2486.00
2020-06-23,2502.00
2020-06-24,2515.00
2020-06-25,2470.00
2020-06-26,2460.50
2020-06-29,2391.00
2020-06-30,2392.00
2020-07-01,2396.00
2020-07-02,2420.50
2020-07-03,2414.00
2020-07-06,2422.50
2020-07-07,2423.00
2020-07-08,2438.00
2020-07-09,2451.50
2020-07-10,2445.50
2020-07-13,2454.50
2020-07-14,2492.00
2020-07-15,2541.50
2020-07-16,2607.00
2020-07-17,2630.00
2020-07-20,2703.50
2020-07-21,2714.00
2020-07-22,2728.50
2020-07-23,2739.00
2020-07-24,2795.00
2020-07-27,2791.50
2020-07-28,2702.50
2020-07-29,2677.50
2020-07-30,2719.50
2020-08-03,2822.50
2020-08-04,2855.00
2020-08-05,2847.00
2020-08-06,2852.00
2020-08-07,2853.50
2020-08-10,2846.00
2020-08-11,2834.50
2020-08-12,2781.50
2020-08-13,2858.50
2020-08-14,2784.00
2020-08-17,2791.00
2020-08-18,2773.00
2020-08-19,2830.00
2020-08-21,2785.50
2020-08-24,2776.00
2020-08-25,2751.50
2020-08-26,2730.00
2020-08-27,2784.00
2020-08-28,2822.50
2020-09-01,2885.50
2020-09-02,2885.50
2020-09-03,2936.50
2020-09-04,2916.50
2020-09-07,2904.50
2020-09-08,2916.00
2020-09-09,2899.00
2020-09-10,2874.50
2020-09-11,2875.00
2020-09-14,2905.50
2020-09-15,2931.00
2020-09-17,2982.50
2020-09-18,3053.50
2020-09-21,3074.00
2020-09-22,2951.00
2020-09-23,2933.00
2020-09-24,2841.50
2020-09-25,2879.50
2020-09-28,2915.50
2020-09-29,2909.50
2020-09-30,2857.50
2020-10-01,2914.00
2020-10-02,2841.00
2020-10-05,2857.50
2020-10-06,2906.00
2020-10-07,2950.00
2020-10-08,2980.00
2020-10-09,3004.00
2020-10-12,3050.50
2020-10-13,3042.50
2020-10-14,3043.00
2020-10-15,3019.00
2020-10-16,3000.50
2020-10-19,2931.00
2020-10-20,2954.50
2020-10-21,3028.00
2020-10-22,3047.00
2020-10-23,3049.50
2020-10-26,3134.00
2020-10-27,3185.00
2020-10-28,3243.50
2020-10-30,3250.00
2020-11-02,3209.50
2020-11-03,3304.00
2020-11-04,3354.00
2020-11-05,3357.00
2020-11-06,3424.00
2020-11-09,3343.50
2020-11-10,3412.50
2020-11-11,3436.00
2020-11-12,3462.50
2020-11-13,3500.00
2020-11-16,3501.50
2020-11-17,3511.50
2020-11-18,3498.00
2020-11-19,3581.50
2020-11-20,3516.50
2020-11-23,3441.00
2020-11-24,3451.50
2020-11-25,3429.00
2020-11-26,3429.50
2020-11-27,3437.50
2020-12-01,3501.50
2020-12-02,3485.50
2020-12-03,3502.00
2020-12-04,3601.00
2020-12-07,3640.00
2020-12-08,3645.00
2020-12-09,3622.00
2020-12-10,3647.00
2020-12-11,3662.00
2020-12-14,3636.50
2020-12-15,3622.00
2020-12-16,3633.00
2020-12-17,3604.50
2020-12-18,3648.50
2020-12-21,3651.00
2020-12-22,3661.00
2020-12-23,3701.50
2020-12-24,3835.50
2020-12-28,3780.50
2020-12-29,3788.00
