Date,Price
2015-01-02,2259.00
2015-01-05,2280.50
2015-01-06,2297.00
2015-01-07,2283.00
2015-01-08,2336.00
2015-01-09,2330.50
2015-01-12,2342.00
2015-01-13,2355.00
2015-01-14,2345.50
2015-01-15,2368.50
2015-01-16,2303.00
2015-01-19,2304.50
2015-01-20,2321.50
2015-01-21,2332.50
2015-01-22,2278.50
2015-01-23,2242.00
2015-01-26,2206.00
2015-01-27,2166.00
2015-01-28,2198.00
2015-01-29,2177.50
2015-01-30,2125.50
2015-02-04,2191.00
2015-02-05,2238.50
2015-02-06,2286.50
2015-02-09,2317.50
2015-02-10,2307.50
2015-02-11,2280.00
2015-02-12,2258.00
2015-02-13,2271.50
2015-02-16,2278.50
2015-02-17,2299.00
2015-02-18,2293.50
2015-02-23,2257.50
2015-02-24,2231.50
2015-02-25,2240.00
2015-02-26,2277.00
2015-02-27,2266.00
2015-03-02,2343.50
2015-03-03,2359.50
2015-03-04,2360.50
2015-03-05,2325.50
2015-03-06,2277.00
2015-03-09,2284.00
2015-03-10,2233.50
2015-03-11,2238.00
2015-03-12,2244.00
2015-03-13,2239.00
2015-03-16,2193.00
2015-03-17,2187.00
2015-03-18,2200.00
2015-03-19,2197.50
2015-03-20,2190.00
2015-03-23,2192.00
2015-03-24,2166.00
2015-03-25,2164.00
2015-03-26,2191.00
2015-03-27,2157.50
2015-03-30,2167.50
2015-03-31,2143.50
2015-04-01,2154.50
2015-04-02,2168.00
2015-04-03,2176.00
2015-04-06,2206.50
2015-04-07,2205.50
2015-04-08,2181.50
2015-04-09,2142.50
2015-04-10,2126.50
2015-04-13,2135.50
2015-04-14,2128.00
2015-04-15,2160.50
2015-04-16,2164.00
2015-04-17,2158.00
2015-04-20,2165.00
2015-04-21,2188.50
2015-04-22,2167.00
2015-04-23,2156.50
2015-04-24,2156.00
2015-04-27,2136.00
2015-04-28,2078.50
2015-04-29,2071.00
2015-04-30,2082.50
2015-05-05,2146.00
2015-05-06,2164.00
2015-05-07,2154.00
2015-05-08,2143.00
2015-05-11,2182.50
2015-05-12,2187.00
2015-05-13,2191.00
2015-05-14,2170.00
2015-05-15,2181.50
2015-05-18,2164.50
2015-05-19,2159.00
2015-05-20,2139.00
2015-05-21,2139.00
2015-05-22,2130.50
2015-05-25,2130.50
2015-05-26,2156.00
2015-05-27,2154.00
2015-05-28,2167.00
2015-05-29,2174.50
2015-06-01,2234.50
2015-06-02,2290.00
2015-06-03,2264.50
2015-06-04,2277.00
2015-06-05,2294.00
2015-06-08,2292.50
2015-06-09,2288.50
2015-06-10,2283.50
2015-06-11,2287.50
2015-06-12,2248.50
2015-06-15,2252.50
2015-06-16,2264.00
2015-06-17,2268.50
2015-06-18,2247.50
2015-06-19,2246.50
2015-06-22,2218.00
2015-06-23,2222.50
2015-06-24,2240.50
2015-06-25,2260.00
2015-06-26,2243.00
2015-06-29,2244.00
2015-06-30,2222.00
2015-07-01,2247.00
2015-07-02,2253.50
2015-07-03,2261.50
2015-07-06,2232.00
2015-07-07,2216.00
2015-07-08,2153.50
2015-07-09,2171.50
2015-07-10,2184.00
2015-07-13,2184.50
2015-07-14,2206.00
2015-07-15,2178.00
2015-07-16,2184.00
2015-07-20,2159.50
2015-07-21,2187.50
2015-07-22,2175.50
2015-07-23,2177.00
2015-07-24,2171.00
2015-07-27,2134.50
2015-07-28,2123.50
2015-07-29,2121.00
2015-07-30,2103.00
2015-07-31,2105.50
2015-08-03,2067.50
2015-08-04,2049.50
2015-08-05,2045.00
2015-08-06,2009.50
2015-08-07,1995.50
2015-08-10,1994.50
2015-08-11,2002.00
2015-08-12,1965.50
2015-08-13,1956.00
2015-08-14,1976.50
2015-08-17,1954.50
2015-08-18,1967.50
2015-08-19,1951.00
2015-08-20,1918.00
2015-08-21,1922.50
2015-08-24,1837.50
2015-08-25,1823.50
2015-08-26,1811.00
