Date,Price
2017-01-03,3252.00
2017-01-04,3230.50
2017-01-05,3256.00
2017-01-06,3214.00
2017-01-09,3237.50
2017-01-10,3251.00
2017-01-11,3264.50
2017-01-12,3253.00
2017-01-13,3261.50
2017-01-16,3256.00
2017-01-17,3283.00
2017-01-18,3296.50
2017-01-19,3296.00
2017-01-20,3293.50
2017-01-23,3293.50
2017-01-24,3299.50
2017-01-25,3305.00
2017-01-26,3304.00
2017-01-27,3300.00
2017-02-02,3286.50
2017-02-03,3284.00
2017-02-06,3290.00
2017-02-07,3316.00
2017-02-08,3316.00
2017-02-10,3344.50
2017-02-13,3301.00
2017-02-14,3279.50
2017-02-15,3298.50
2017-02-16,3288.00
2017-02-17,3212.00
2017-02-20,3188.50
2017-02-21,3162.50
2017-02-22,3060.00
2017-02-23,2989.50
2017-02-24,2956.00
2017-02-27,2946.00
2017-02-28,2900.50
2017-03-01,2934.50
2017-03-02,2977.00
2017-03-03,2974.50
2017-03-06,2996.00
2017-03-07,2981.00
2017-03-08,2947.50
2017-03-09,2990.50
2017-03-10,2935.50
2017-03-13,2972.00
2017-03-14,2943.00
2017-03-15,2976.00
2017-03-16,2991.00
2017-03-17,3000.00
2017-03-20,2978.00
2017-03-21,2963.00
2017-03-22,2979.50
2017-03-23,2947.50
2017-03-24,2916.00
2017-03-27,2887.50
2017-03-28,2883.50
2017-03-29,2886.00
2017-03-30,2855.00
2017-03-31,2828.00
2017-04-03,2865.50
2017-04-04,2879.50
2017-04-05,2879.50
2017-04-06,2914.00
2017-04-07,2876.50
2017-04-10,2839.00
2017-04-11,2805.00
2017-04-12,2748.00
2017-04-13,2750.00
2017-04-14,2690.50
2017-04-17,2708.00
2017-04-18,2641.50
2017-04-19,2613.00
2017-04-20,2639.00
2017-04-21,2658.50
2017-04-25,2608.50
2017-04-26,2640.50
2017-04-27,2691.50
2017-04-28,2631.00
2017-05-02,2695.50
2017-05-03,2689.50
2017-05-04,2710.00
2017-05-05,2716.50
2017-05-08,2774.50
2017-05-09,2795.50
2017-05-11,2809.00
2017-05-12,2814.50
2017-05-15,2842.50
2017-05-16,2838.00
2017-05-17,2861.50
2017-05-18,2884.50
2017-05-19,2874.00
2017-05-22,2903.50
2017-05-23,2892.00
2017-05-24,2869.00
